stfeco,stfgov,stflife,stfdem,bailout,Bailout,income,government,gndr,agea,eduyrs,hinctnta,partner,uemp3m,polintr,lrscale,region_north,region_east,region_west,region_south
6,3,9,8,1,1,7,0,2,62,13,7,1,2,2,4,0,1,0,0
7,6,8,6,1,1,9,0,2,67,13,9,1,2,1,8,0,1,0,0
5,5,7,6,1,1,3,1,2,47,10,3,2,2,3,5,0,1,0,0
5,6,8,7,1,1,8,1,2,40,17,8,1,NA,2,7,0,1,0,0
6,5,6,5,1,1,4,0,1,49,11,4,1,1,4,5,0,1,0,0
7,6,8,7,1,1,7,1,1,33,19,7,1,2,3,6,0,1,0,0
5,5,9,6,1,1,9,NA,1,32,11,9,1,1,2,2,0,1,0,0
6,6,7,6,0,0,7,1,2,49,11,7,2,2,3,5,0,1,0,0
6,6,7,5,1,1,4,NA,1,59,10,4,1,1,3,5,0,1,0,0
6,6,8,7,1,1,6,1,1,47,12,6,1,2,3,5,0,1,0,0
4,7,9,8,1,1,5,NA,1,15,9,5,2,2,2,NA,0,1,0,0
7,7,8,8,1,1,10,1,2,41,16,10,1,2,3,4,0,1,0,0
3,6,9,8,1,1,9,1,1,35,15,9,1,2,1,3,0,1,0,0
3,7,7,8,1,1,7,0,1,35,25,7,1,1,2,2,0,1,0,0
6,6,9,6,1,1,8,1,1,25,14,8,2,NA,2,8,0,1,0,0
5,4,7,6,1,1,2,0,1,72,9,2,2,2,2,6,0,1,0,0
6,7,7,5,0,0,4,NA,2,19,12,4,2,2,3,5,0,1,0,0
1,1,7,6,1,1,2,1,2,63,12,2,1,2,2,6,0,1,0,0
2,2,9,5,1,1,3,1,2,73,6,3,2,2,4,6,0,1,0,0
7,6,7,5,1,1,2,1,2,66,8,2,2,2,3,5,0,1,0,0
8,7,9,7,0,0,6,1,1,43,12,6,1,2,2,7,0,1,0,0
0,0,0,0,1,1,1,0,1,59,5,1,2,1,1,5,0,1,0,0
